Year,Series,Sexua,Lurralde historikoa,Units,Value
2013,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.65
2022,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.49
2023,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,81.17
2020,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.27
2018,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.44
2019,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.49
2016,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.94
2014,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.84
2021,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.47
2017,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,80.22
2015,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,79.84
2012,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,78.93
2011,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,78.53
2023,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.79
2021,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.59
2020,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,81.07
2018,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.42
2011,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.5
2016,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.54
2019,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,81.29
2013,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.66
2017,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.2
2014,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.77
2015,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.12
2012,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.26
2010,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,79.42
2022,Bizi-itxaropena jaiotzean,Gizona,Gipuzkoa,Urteak,80.22
