Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2022,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2015,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2020,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2013,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2018,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2023,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2014,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2016,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2010,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
2014,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2015,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2020,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2019,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2022,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2023,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2018,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2021,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2013,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2016,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2010,Proporción de viviendas con agua corriente,,,Aizarnazabal,%,Aizarnazabal,99.6
2016,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2020,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2021,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2023,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2013,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2022,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2018,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2010,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2019,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2015,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2014,Proporción de viviendas con agua corriente,,,Ajangiz,%,Ajangiz,100.0
2018,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2020,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2023,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2013,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2021,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2019,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2022,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2015,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2016,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2014,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2010,Proporción de viviendas con agua corriente,,,Albiztur,%,Albiztur,100.0
2023,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2015,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2010,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2018,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2016,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2019,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2013,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2021,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2014,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2020,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2022,Proporción de viviendas con agua corriente,,,Alegia,%,Alegia,100.0
2022,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2014,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2018,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2021,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2015,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2010,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.8
2016,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2013,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2023,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2019,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2020,Proporción de viviendas con agua corriente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2022,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2018,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2023,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2016,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2019,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2010,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2020,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2015,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2014,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2021,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2013,Proporción de viviendas con agua corriente,,,Alkiza,%,Alkiza,100.0
2023,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2018,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.5
2021,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.5
2016,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.5
2010,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2019,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2022,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2013,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2015,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2020,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.5
2014,Proporción de viviendas con agua corriente,,,Alonsotegi,%,Alonsotegi,99.4
2010,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2018,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2023,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2016,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2019,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2013,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2015,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2022,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2021,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2020,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2014,Proporción de viviendas con agua corriente,,,Altzaga,%,Altzaga,100.0
2019,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2015,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2014,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2023,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2018,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2013,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2022,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2020,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2021,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2010,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2016,Proporción de viviendas con agua corriente,,,Altzo,%,Altzo,100.0
2023,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2020,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2015,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2016,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2010,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2021,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2014,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2022,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2019,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2013,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2018,Proporción de viviendas con agua corriente,,,Amezketa,%,Amezketa,100.0
2016,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2023,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2014,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2019,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2022,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2021,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2013,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2010,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2018,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2020,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2015,Proporción de viviendas con agua corriente,,,Amorebieta-Etxano,%,Amorebieta-Etxano,99.9
2019,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2013,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2021,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2020,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2010,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2023,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2018,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2022,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2015,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2016,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2014,Proporción de viviendas con agua corriente,,,Amoroto,%,Amoroto,100.0
2022,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2014,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,100.0
2016,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2021,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2010,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2020,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,100.0
2023,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2013,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,100.0
2018,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2015,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,100.0
2019,Proporción de viviendas con agua corriente,,,Amurrio,%,Amurrio,99.9
2010,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2013,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2018,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2023,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,99.9
2020,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2022,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,99.9
2015,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,99.9
2016,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2014,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,99.9
2021,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2019,Proporción de viviendas con agua corriente,,,Andoain,%,Andoain,100.0
2015,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2023,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2020,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2021,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2018,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2022,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2014,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2010,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2016,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2013,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2019,Proporción de viviendas con agua corriente,,,Anoeta,%,Anoeta,100.0
2020,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2018,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2015,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2021,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2023,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2016,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2013,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2010,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2019,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2014,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2022,Proporción de viviendas con agua corriente,,,Antzuola,%,Antzuola,99.9
2018,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2013,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2016,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2022,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2015,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2021,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2020,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2023,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2010,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2014,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2019,Proporción de viviendas con agua corriente,,,Añana,%,Añana,100.0
2021,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2015,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2016,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2019,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2013,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2014,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2023,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2010,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2018,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2020,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2022,Proporción de viviendas con agua corriente,,,Arakaldo,%,Arakaldo,100.0
2014,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2020,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2015,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2023,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2022,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2016,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2013,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2019,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2010,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2021,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2018,Proporción de viviendas con agua corriente,,,Arama,%,Arama,100.0
2016,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2023,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2019,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2015,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2022,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2013,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2010,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2021,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2018,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2020,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2014,Proporción de viviendas con agua corriente,,,Aramaio,%,Aramaio,100.0
2014,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2018,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2021,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2013,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2019,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.3
2015,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2023,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2022,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2010,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2016,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,100.0
2020,Proporción de viviendas con agua corriente,,,Arantzazu,%,Arantzazu,99.4
2020,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2014,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2010,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.3
2022,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2021,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2015,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2013,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2023,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.2
2016,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2018,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.4
2019,Proporción de viviendas con agua corriente,,,Areatza,%,Areatza,99.6
2021,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2016,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2020,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2010,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2019,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2023,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2014,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2015,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2018,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2022,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2013,Proporción de viviendas con agua corriente,,,Aretxabaleta,%,Aretxabaleta,100.0
2020,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,98.9
2010,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,98.9
2018,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2019,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,98.9
2023,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2021,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2013,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2016,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
2015,Proporción de viviendas con agua corriente,,,Armiñón,%,Armiñón,100.0
