Year,Sexo,Edad,Nacionalidad,Discapacidad,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,,,,,,,Alegia,%,Alegia,10.9
2022,,,,,,,Alegia,%,Alegia,7.7
2016,,,,,,,Alegia,%,Alegia,16.4
2018,,,,,,,Alegia,%,Alegia,11.3
2020,,,,,,,Alegia,%,Alegia,9.5
2023,,,,,,,Alegia,%,Alegia,8.1
2016,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.8
2021,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,11.8
2020,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.4
2010,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,7.5
2022,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,10.7
2015,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.6
2023,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,7.5
2018,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.6
2019,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,10.7
2019,,,,,,,Alkiza,%,Alkiza,8.7
2015,,,,,,,Alkiza,%,Alkiza,10.2
2021,,,,,,,Alkiza,%,Alkiza,7.0
2023,,,,,,,Alkiza,%,Alkiza,8.1
2010,,,,,,,Alkiza,%,Alkiza,4.7
2016,,,,,,,Alkiza,%,Alkiza,9.7
2020,,,,,,,Alkiza,%,Alkiza,5.4
2018,,,,,,,Alkiza,%,Alkiza,5.8
2022,,,,,,,Alkiza,%,Alkiza,5.3
2015,,,,,,,Alonsotegi,%,Alonsotegi,19.3
2019,,,,,,,Alonsotegi,%,Alonsotegi,15.4
2016,,,,,,,Alonsotegi,%,Alonsotegi,20.0
2018,,,,,,,Alonsotegi,%,Alonsotegi,15.8
2021,,,,,,,Alonsotegi,%,Alonsotegi,14.0
2010,,,,,,,Alonsotegi,%,Alonsotegi,9.5
2022,,,,,,,Alonsotegi,%,Alonsotegi,12.6
2020,,,,,,,Alonsotegi,%,Alonsotegi,12.4
2023,,,,,,,Alonsotegi,%,Alonsotegi,13.3
2019,,,,,,,Altzaga,%,Altzaga,6.3
2015,,,,,,,Altzaga,%,Altzaga,13.6
2016,,,,,,,Altzaga,%,Altzaga,6.8
2020,,,,,,,Altzaga,%,Altzaga,9.1
2021,,,,,,,Altzaga,%,Altzaga,4.4
2022,,,,,,,Altzaga,%,Altzaga,2.5
2018,,,,,,,Altzaga,%,Altzaga,8.0
2023,,,,,,,Altzaga,%,Altzaga,4.0
2010,,,,,,,Altzaga,%,Altzaga,2.4
2015,,,,,,,Altzo,%,Altzo,10.8
2021,,,,,,,Altzo,%,Altzo,5.9
2010,,,,,,,Altzo,%,Altzo,6.3
2023,,,,,,,Altzo,%,Altzo,4.9
2019,,,,,,,Altzo,%,Altzo,4.1
2020,,,,,,,Altzo,%,Altzo,5.9
2022,,,,,,,Altzo,%,Altzo,5.7
2016,,,,,,,Altzo,%,Altzo,12.1
2018,,,,,,,Altzo,%,Altzo,6.7
2022,,,,,,,Amezketa,%,Amezketa,6.4
2015,,,,,,,Amezketa,%,Amezketa,11.0
2018,,,,,,,Amezketa,%,Amezketa,10.8
2019,,,,,,,Amezketa,%,Amezketa,8.4
2020,,,,,,,Amezketa,%,Amezketa,7.8
2021,,,,,,,Amezketa,%,Amezketa,9.2
2023,,,,,,,Amezketa,%,Amezketa,7.5
2010,,,,,,,Amezketa,%,Amezketa,7.3
2016,,,,,,,Amezketa,%,Amezketa,10.8
2018,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2016,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,12.6
2019,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2023,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,6.2
2010,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.1
2022,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.1
2015,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,14.4
2020,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.1
2021,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.2
2019,,,,,,,Amoroto,%,Amoroto,8.4
2010,,,,,,,Amoroto,%,Amoroto,8.7
2015,,,,,,,Amoroto,%,Amoroto,11.0
2023,,,,,,,Amoroto,%,Amoroto,7.9
2022,,,,,,,Amoroto,%,Amoroto,5.1
2016,,,,,,,Amoroto,%,Amoroto,8.2
2018,,,,,,,Amoroto,%,Amoroto,6.7
2020,,,,,,,Amoroto,%,Amoroto,10.4
2021,,,,,,,Amoroto,%,Amoroto,7.0
2020,,,,,,,Amurrio,%,Amurrio,11.2
2021,,,,,,,Amurrio,%,Amurrio,11.4
2010,,,,,,,Amurrio,%,Amurrio,9.3
2023,,,,,,,Amurrio,%,Amurrio,8.4
2015,,,,,,,Amurrio,%,Amurrio,16.1
2016,,,,,,,Amurrio,%,Amurrio,15.8
2022,,,,,,,Amurrio,%,Amurrio,9.3
2018,,,,,,,Amurrio,%,Amurrio,12.0
2019,,,,,,,Amurrio,%,Amurrio,10.7
2022,,,,,,,Andoain,%,Andoain,8.6
2021,,,,,,,Andoain,%,Andoain,9.8
2015,,,,,,,Andoain,%,Andoain,13.8
2019,,,,,,,Andoain,%,Andoain,9.1
2018,,,,,,,Andoain,%,Andoain,10.4
2020,,,,,,,Andoain,%,Andoain,8.4
2016,,,,,,,Andoain,%,Andoain,13.7
2023,,,,,,,Andoain,%,Andoain,7.7
2010,,,,,,,Andoain,%,Andoain,8.5
2022,,,,,,,Anoeta,%,Anoeta,7.7
2018,,,,,,,Anoeta,%,Anoeta,9.5
2021,,,,,,,Anoeta,%,Anoeta,8.7
2023,,,,,,,Anoeta,%,Anoeta,7.1
2019,,,,,,,Anoeta,%,Anoeta,8.4
2020,,,,,,,Anoeta,%,Anoeta,8.0
2016,,,,,,,Anoeta,%,Anoeta,13.6
2010,,,,,,,Anoeta,%,Anoeta,8.1
2015,,,,,,,Anoeta,%,Anoeta,14.0
2020,,,,,,,Antzuola,%,Antzuola,6.1
2022,,,,,,,Antzuola,%,Antzuola,5.5
2021,,,,,,,Antzuola,%,Antzuola,7.1
2016,,,,,,,Antzuola,%,Antzuola,8.5
2015,,,,,,,Antzuola,%,Antzuola,10.2
2023,,,,,,,Antzuola,%,Antzuola,5.9
2018,,,,,,,Antzuola,%,Antzuola,4.9
2019,,,,,,,Antzuola,%,Antzuola,5.0
2010,,,,,,,Antzuola,%,Antzuola,6.9
2016,,,,,,,Añana,%,Añana,15.6
2015,,,,,,,Añana,%,Añana,17.9
2010,,,,,,,Añana,%,Añana,6.3
2018,,,,,,,Añana,%,Añana,8.2
2019,,,,,,,Añana,%,Añana,7.0
2020,,,,,,,Añana,%,Añana,9.3
2021,,,,,,,Añana,%,Añana,8.2
2023,,,,,,,Añana,%,Añana,7.4
2022,,,,,,,Añana,%,Añana,8.2
2019,,,,,,,Arakaldo,%,Arakaldo,10.8
2018,,,,,,,Arakaldo,%,Arakaldo,16.3
2020,,,,,,,Arakaldo,%,Arakaldo,14.1
2021,,,,,,,Arakaldo,%,Arakaldo,15.8
2010,,,,,,,Arakaldo,%,Arakaldo,7.1
2015,,,,,,,Arakaldo,%,Arakaldo,16.3
2022,,,,,,,Arakaldo,%,Arakaldo,9.2
2023,,,,,,,Arakaldo,%,Arakaldo,12.0
2016,,,,,,,Arakaldo,%,Arakaldo,11.2
2020,,,,,,,Arama,%,Arama,7.6
2021,,,,,,,Arama,%,Arama,5.3
2015,,,,,,,Arama,%,Arama,11.4
2019,,,,,,,Arama,%,Arama,6.1
2010,,,,,,,Arama,%,Arama,6.1
2018,,,,,,,Arama,%,Arama,6.5
2016,,,,,,,Arama,%,Arama,5.9
2022,,,,,,,Arama,%,Arama,5.3
2023,,,,,,,Arama,%,Arama,2.0
2016,,,,,,,Aramaio,%,Aramaio,8.6
2023,,,,,,,Aramaio,%,Aramaio,4.7
2018,,,,,,,Aramaio,%,Aramaio,4.7
2019,,,,,,,Aramaio,%,Aramaio,4.3
2015,,,,,,,Aramaio,%,Aramaio,10.8
2021,,,,,,,Aramaio,%,Aramaio,5.7
2022,,,,,,,Aramaio,%,Aramaio,4.4
2010,,,,,,,Aramaio,%,Aramaio,5.5
2020,,,,,,,Aramaio,%,Aramaio,4.3
2019,,,,,,,Arantzazu,%,Arantzazu,7.2
2018,,,,,,,Arantzazu,%,Arantzazu,9.0
2022,,,,,,,Arantzazu,%,Arantzazu,7.8
2021,,,,,,,Arantzazu,%,Arantzazu,10.0
2016,,,,,,,Arantzazu,%,Arantzazu,9.9
2023,,,,,,,Arantzazu,%,Arantzazu,7.1
2015,,,,,,,Arantzazu,%,Arantzazu,13.2
2010,,,,,,,Arantzazu,%,Arantzazu,8.1
2020,,,,,,,Arantzazu,%,Arantzazu,7.5
2022,,,,,,,Areatza,%,Areatza,7.9
2019,,,,,,,Areatza,%,Areatza,10.4
2018,,,,,,,Areatza,%,Areatza,12.6
2021,,,,,,,Areatza,%,Areatza,11.1
2016,,,,,,,Areatza,%,Areatza,16.3
2010,,,,,,,Areatza,%,Areatza,7.5
2023,,,,,,,Areatza,%,Areatza,6.5
2020,,,,,,,Areatza,%,Areatza,8.8
2015,,,,,,,Areatza,%,Areatza,15.2
2022,,,,,,,Aretxabaleta,%,Aretxabaleta,5.8
2023,,,,,,,Aretxabaleta,%,Aretxabaleta,5.2
2021,,,,,,,Aretxabaleta,%,Aretxabaleta,6.6
2010,,,,,,,Aretxabaleta,%,Aretxabaleta,7.7
2018,,,,,,,Aretxabaleta,%,Aretxabaleta,7.5
2016,,,,,,,Aretxabaleta,%,Aretxabaleta,9.5
2020,,,,,,,Aretxabaleta,%,Aretxabaleta,6.8
2015,,,,,,,Aretxabaleta,%,Aretxabaleta,11.8
2019,,,,,,,Aretxabaleta,%,Aretxabaleta,7.8
2010,,,,,,,Armiñón,%,Armiñón,8.1
2021,,,,,,,Armiñón,%,Armiñón,9.9
2015,,,,,,,Armiñón,%,Armiñón,14.9
2020,,,,,,,Armiñón,%,Armiñón,6.7
2018,,,,,,,Armiñón,%,Armiñón,7.6
2016,,,,,,,Armiñón,%,Armiñón,12.1
2019,,,,,,,Armiñón,%,Armiñón,7.9
2022,,,,,,,Armiñón,%,Armiñón,3.1
2023,,,,,,,Armiñón,%,Armiñón,4.9
2018,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,7.2
2022,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,4.8
2019,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,5.1
2016,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,8.9
2020,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,4.3
2023,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,3.0
2021,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,6.7
2010,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,5.3
2015,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,10.4
2020,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.4
2018,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.2
2015,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,14.4
2016,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,12.7
2022,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,7.2
2021,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,8.4
2010,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,7.6
2023,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,5.7
2019,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.3
2016,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,14.5
2022,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,8.4
2023,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,8.4
2021,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,10.5
2019,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,10.2
2015,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,15.6
2020,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,9.1
2010,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,8.9
2018,,,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,10.2
2018,,,,,,,Arratzu,%,Arratzu,8.0
2016,,,,,,,Arratzu,%,Arratzu,12.1
2010,,,,,,,Arratzu,%,Arratzu,5.2
2021,,,,,,,Arratzu,%,Arratzu,6.6
2015,,,,,,,Arratzu,%,Arratzu,7.8
2020,,,,,,,Arratzu,%,Arratzu,5.3
2022,,,,,,,Arratzu,%,Arratzu,5.6
2023,,,,,,,Arratzu,%,Arratzu,5.3
2019,,,,,,,Arratzu,%,Arratzu,6.3
2018,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.9
2016,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.3
2021,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.8
2023,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,4.9
2010,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.7
2015,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,9.3
2020,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.7
2019,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.0
2022,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.2
2015,,,,,,,Arrieta,%,Arrieta,10.0
2016,,,,,,,Arrieta,%,Arrieta,10.2
2019,,,,,,,Arrieta,%,Arrieta,6.9
2023,,,,,,,Arrieta,%,Arrieta,5.6
2010,,,,,,,Arrieta,%,Arrieta,7.7
2022,,,,,,,Arrieta,%,Arrieta,7.1
2020,,,,,,,Arrieta,%,Arrieta,8.1
2021,,,,,,,Arrieta,%,Arrieta,6.8
2018,,,,,,,Arrieta,%,Arrieta,7.2
2018,,,,,,,Arrigorriaga,%,Arrigorriaga,12.8
2022,,,,,,,Arrigorriaga,%,Arrigorriaga,10.1
2023,,,,,,,Arrigorriaga,%,Arrigorriaga,8.0
2016,,,,,,,Arrigorriaga,%,Arrigorriaga,16.8
2021,,,,,,,Arrigorriaga,%,Arrigorriaga,11.3
2020,,,,,,,Arrigorriaga,%,Arrigorriaga,10.5
2010,,,,,,,Arrigorriaga,%,Arrigorriaga,9.4
2019,,,,,,,Arrigorriaga,%,Arrigorriaga,10.8
2015,,,,,,,Arrigorriaga,%,Arrigorriaga,16.5
2018,,,,,,,Artea,%,Artea,9.4
2022,,,,,,,Artea,%,Artea,9.5
2010,,,,,,,Artea,%,Artea,7.4
2023,,,,,,,Artea,%,Artea,7.1
2020,,,,,,,Artea,%,Artea,7.8
2019,,,,,,,Artea,%,Artea,7.8
2021,,,,,,,Artea,%,Artea,11.0
2016,,,,,,,Artea,%,Artea,11.3
2015,,,,,,,Artea,%,Artea,13.3
2016,,,,,,,Artzentales,%,Artzentales,17.7
2023,,,,,,,Artzentales,%,Artzentales,12.2
2019,,,,,,,Artzentales,%,Artzentales,14.4
2018,,,,,,,Artzentales,%,Artzentales,10.6
2020,,,,,,,Artzentales,%,Artzentales,10.4
2022,,,,,,,Artzentales,%,Artzentales,11.9
2021,,,,,,,Artzentales,%,Artzentales,14.4
2015,,,,,,,Artzentales,%,Artzentales,14.0
2010,,,,,,,Artzentales,%,Artzentales,7.3
2018,,,,,,,Artziniega,%,Artziniega,11.8
2020,,,,,,,Artziniega,%,Artziniega,11.3
2022,,,,,,,Artziniega,%,Artziniega,10.0
2023,,,,,,,Artziniega,%,Artziniega,8.4
2010,,,,,,,Artziniega,%,Artziniega,9.1
2019,,,,,,,Artziniega,%,Artziniega,11.2
2021,,,,,,,Artziniega,%,Artziniega,12.2
2015,,,,,,,Artziniega,%,Artziniega,15.3
2016,,,,,,,Artziniega,%,Artziniega,16.4
2016,,,,,,,Asparrena,%,Asparrena,16.7
2020,,,,,,,Asparrena,%,Asparrena,14.1
2021,,,,,,,Asparrena,%,Asparrena,13.0
2018,,,,,,,Asparrena,%,Asparrena,13.6
2015,,,,,,,Asparrena,%,Asparrena,19.1
2019,,,,,,,Asparrena,%,Asparrena,13.8
2022,,,,,,,Asparrena,%,Asparrena,12.2
2023,,,,,,,Asparrena,%,Asparrena,7.7
2010,,,,,,,Asparrena,%,Asparrena,8.6
2023,,,,,,,Asteasu,%,Asteasu,5.2
2016,,,,,,,Asteasu,%,Asteasu,9.2
2019,,,,,,,Asteasu,%,Asteasu,5.6
2020,,,,,,,Asteasu,%,Asteasu,6.0
2010,,,,,,,Asteasu,%,Asteasu,5.3
2022,,,,,,,Asteasu,%,Asteasu,6.1
2021,,,,,,,Asteasu,%,Asteasu,6.9
2015,,,,,,,Asteasu,%,Asteasu,9.8
2018,,,,,,,Asteasu,%,Asteasu,5.3
2010,,,,,,,Astigarraga,%,Astigarraga,6.6
2023,,,,,,,Astigarraga,%,Astigarraga,5.0
2016,,,,,,,Astigarraga,%,Astigarraga,10.1
2018,,,,,,,Astigarraga,%,Astigarraga,7.9
2021,,,,,,,Astigarraga,%,Astigarraga,6.8
2020,,,,,,,Astigarraga,%,Astigarraga,6.6
2015,,,,,,,Astigarraga,%,Astigarraga,11.0
2019,,,,,,,Astigarraga,%,Astigarraga,6.8
2022,,,,,,,Astigarraga,%,Astigarraga,5.8
2010,,,,,,,Ataun,%,Ataun,5.2
2019,,,,,,,Ataun,%,Ataun,6.8
2020,,,,,,,Ataun,%,Ataun,7.0
2021,,,,,,,Ataun,%,Ataun,6.9
2023,,,,,,,Ataun,%,Ataun,6.6
2016,,,,,,,Ataun,%,Ataun,9.4
2015,,,,,,,Ataun,%,Ataun,8.8
2018,,,,,,,Ataun,%,Ataun,6.6
2022,,,,,,,Ataun,%,Ataun,4.1
2015,,,,,,,Atxondo,%,Atxondo,14.5
2022,,,,,,,Atxondo,%,Atxondo,7.1
2020,,,,,,,Atxondo,%,Atxondo,8.7
2018,,,,,,,Atxondo,%,Atxondo,8.6
2023,,,,,,,Atxondo,%,Atxondo,5.6
2021,,,,,,,Atxondo,%,Atxondo,9.2
2019,,,,,,,Atxondo,%,Atxondo,7.1
2016,,,,,,,Atxondo,%,Atxondo,11.1
2010,,,,,,,Atxondo,%,Atxondo,9.0
2018,,,,,,,Aulesti,%,Aulesti,6.7
2023,,,,,,,Aulesti,%,Aulesti,6.0
2022,,,,,,,Aulesti,%,Aulesti,6.0
2015,,,,,,,Aulesti,%,Aulesti,10.7
2019,,,,,,,Aulesti,%,Aulesti,6.1
2010,,,,,,,Aulesti,%,Aulesti,8.7
2016,,,,,,,Aulesti,%,Aulesti,7.1
2021,,,,,,,Aulesti,%,Aulesti,7.2
2020,,,,,,,Aulesti,%,Aulesti,6.3
2023,,,,,,,Ayala/Aiara,%,Ayala/Aiara,5.5
2016,,,,,,,Ayala/Aiara,%,Ayala/Aiara,11.3
2020,,,,,,,Ayala/Aiara,%,Ayala/Aiara,8.3
2010,,,,,,,Ayala/Aiara,%,Ayala/Aiara,7.8
2022,,,,,,,Ayala/Aiara,%,Ayala/Aiara,7.2
2019,,,,,,,Ayala/Aiara,%,Ayala/Aiara,8.3
2021,,,,,,,Ayala/Aiara,%,Ayala/Aiara,9.6
2018,,,,,,,Ayala/Aiara,%,Ayala/Aiara,8.5
2015,,,,,,,Ayala/Aiara,%,Ayala/Aiara,11.8
2023,,,,,,,Azkoitia,%,Azkoitia,7.0
2021,,,,,,,Azkoitia,%,Azkoitia,8.9
2010,,,,,,,Azkoitia,%,Azkoitia,8.7
2015,,,,,,,Azkoitia,%,Azkoitia,14.9
2018,,,,,,,Azkoitia,%,Azkoitia,10.4
2019,,,,,,,Azkoitia,%,Azkoitia,8.7
2020,,,,,,,Azkoitia,%,Azkoitia,8.6
2016,,,,,,,Azkoitia,%,Azkoitia,13.8
2022,,,,,,,Azkoitia,%,Azkoitia,7.3
2022,,,,,,,Azpeitia,%,Azpeitia,6.4
2019,,,,,,,Azpeitia,%,Azpeitia,7.6
2023,,,,,,,Azpeitia,%,Azpeitia,6.1
2020,,,,,,,Azpeitia,%,Azpeitia,7.5
2010,,,,,,,Azpeitia,%,Azpeitia,8.3
2016,,,,,,,Azpeitia,%,Azpeitia,13.2
2018,,,,,,,Azpeitia,%,Azpeitia,8.0
2021,,,,,,,Azpeitia,%,Azpeitia,8.1
2015,,,,,,,Azpeitia,%,Azpeitia,15.4
2020,,,,,,,Bakio,%,Bakio,10.1
2019,,,,,,,Bakio,%,Bakio,9.9
2018,,,,,,,Bakio,%,Bakio,11.8
2022,,,,,,,Bakio,%,Bakio,8.4
2016,,,,,,,Bakio,%,Bakio,15.1
2023,,,,,,,Bakio,%,Bakio,6.6
2010,,,,,,,Bakio,%,Bakio,8.0
2021,,,,,,,Bakio,%,Bakio,10.4
2015,,,,,,,Bakio,%,Bakio,14.8
2023,,,,,,,Baliarrain,%,Baliarrain,2.4
2021,,,,,,,Baliarrain,%,Baliarrain,6.8
2022,,,,,,,Baliarrain,%,Baliarrain,6.5
2019,,,,,,,Baliarrain,%,Baliarrain,2.8
2020,,,,,,,Baliarrain,%,Baliarrain,5.3
2018,,,,,,,Baliarrain,%,Baliarrain,5.4
2016,,,,,,,Baliarrain,%,Baliarrain,8.2
